id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	6	7	22	2	0	16	1	1
8	1	47	53	217	6	0	170	6	6
1	1	0	1	220	25	6	220	7	1
15	1	186	187	225	10	2	39	3	1
20	0	298	299	306	5	0	8	1	1
22	0	304	307	315	4	2	11	5	3
29	0	439	440	444	4	0	5	1	1
30	0	454	455	456	1	0	2	1	1
38	0	530	555	556	1	0	26	25	25
39	0	554	557	585	4	4	31	7	3
44	1	662	663	695	12	4	33	5	1
43	1	655	656	724	7	0	69	1	1
34	1	503	511	873	9	2	370	10	8
17	2	247	248	1002	19	0	755	1	1
25	2	345	346	1055	19	5	710	6	1
26	2	354	355	1107	18	2	753	3	1
13	2	170	171	1111	13	3	941	4	1
12	2	131	147	1158	24	4	1027	20	16
23	2	326	327	1168	27	4	842	5	1
46	2	708	709	1188	19	1	480	2	1
6	2	42	65	1216	19	0	1174	23	23
47	3	756	757	1243	20	4	487	5	1
21	3	303	304	1279	26	1	976	2	1
14	3	185	186	1385	20	0	1200	1	1
9	3	66	72	1388	23	0	1322	6	6
10	3	97	104	1425	24	4	1328	11	7
45	4	663	664	1489	33	3	826	4	1
50	4	782	783	1510	27	5	728	6	1
27	4	404	405	1610	28	2	1206	3	1
5	4	30	84	1615	46	6	1585	60	54
36	5	524	543	1748	28	0	1224	19	19
3	5	19	28	1758	44	5	1739	14	9
40	6	560	575	1830	49	4	1270	19	15
42	6	641	642	1930	41	7	1289	8	1
7	7	43	67	1948	63	2	1905	26	24
19	7	282	283	2005	53	10	1723	11	1
28	7	432	433	2034	46	5	1602	6	1
41	7	594	601	2060	49	5	1466	12	7
18	7	259	260	2104	55	7	1845	8	1
4	8	27	28	2120	74	13	2093	14	1
11	8	113	118	2145	58	10	2032	15	5
24	9	327	328	2220	58	1	1893	2	1
37	9	526	555	2222	48	2	1696	31	29
31	10	479	480	2285	80	9	1806	10	1
35	11	522	523	2300	87	13	1778	14	1
32	11	480	481	2315	96	13	1835	14	1
48	11	765	766	2318	82	8	1553	9	1
16	11	239	240	2322	83	6	2083	7	1
33	12	497	500	2325	75	5	1828	8	3
49	31	771	772	2489	207	19	1718	20	1
0	0	0	0	2489	11	0	2489	0	0
