id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	13	17	121	62	2	108	6	4
3	0	15	25	152	39	6	137	16	10
1	0	0	0	156	22	8	156	8	0
9	0	118	172	175	3	0	57	54	54
6	0	67	121	193	26	2	126	56	54
13	0	153	221	258	37	0	105	68	68
5	0	62	83	277	22	2	215	23	21
17	0	201	342	348	6	0	147	141	141
11	0	134	197	378	35	2	244	65	63
12	0	151	219	407	31	1	256	69	68
14	0	155	258	453	9	1	298	104	103
4	0	56	71	497	23	5	441	20	15
16	0	189	289	557	57	1	368	101	100
30	0	354	571	574	3	0	220	217	217
32	0	393	584	597	13	0	204	191	191
22	0	259	443	625	8	4	366	188	184
33	0	454	625	626	1	0	172	171	171
15	0	158	268	657	8	2	499	112	110
24	0	273	472	727	34	3	454	202	199
42	0	526	770	780	10	0	254	244	244
29	0	338	557	807	7	2	469	221	219
20	0	249	407	897	31	2	648	160	158
49	0	652	947	967	20	0	315	295	295
37	0	480	676	1009	20	3	529	199	196
25	0	277	497	1064	20	2	787	222	220
26	0	282	505	1096	25	4	814	227	223
27	0	287	506	1097	9	2	810	221	219
55	0	753	1097	1125	28	0	372	344	344
8	0	107	165	1145	49	7	1038	65	58
41	0	524	765	1156	16	1	632	242	241
57	0	775	1156	1159	3	0	384	381	381
44	0	537	788	1174	3	2	637	253	251
18	0	204	348	1230	28	4	1026	148	144
7	0	71	152	1452	59	8	1381	89	81
52	0	723	1036	1572	13	2	849	315	313
28	0	321	520	1692	45	4	1371	203	199
31	0	370	582	1842	13	4	1472	216	212
63	0	900	1245	1892	14	2	992	347	345
93	0	1307	1979	1985	6	0	678	672	672
0	0	0	0	2004	1996	0	2004	0	0
