id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
11	0	69	395	417	22	0	348	326	326
15	0	137	352	428	22	2	291	217	215
21	0	210	383	439	3	2	229	175	173
18	0	159	461	474	13	0	315	302	302
20	0	204	484	532	15	2	328	282	280
28	0	269	542	545	3	0	276	273	273
30	0	303	449	558	5	1	255	147	146
19	0	172	582	753	23	2	581	412	410
5	0	11	776	795	19	0	784	765	765
1	0	0	10	845	361	4	845	14	10
13	0	99	341	892	22	1	793	243	242
23	0	237	1232	1370	61	2	1133	997	995
2	0	1	597	1389	168	12	1388	608	596
12	0	81	671	1530	123	5	1449	595	590
9	0	60	1424	1643	65	5	1583	1369	1364
4	0	9	1653	1738	42	1	1729	1645	1644
7	0	52	1748	1940	47	3	1888	1699	1696
0	0	0	-1	2002	2002	0	2002	-1	-1
