id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	20	78	179	101	0	159	58	58
15	0	195	519	521	2	0	326	324	324
18	0	225	580	581	1	0	356	355	355
6	0	68	231	711	94	1	643	164	163
30	0	386	796	797	1	0	411	410	410
1	0	0	10	811	56	1	811	11	10
11	0	124	431	860	16	2	736	309	307
19	0	232	591	979	12	4	747	363	359
28	0	373	735	1401	8	1	1028	363	362
12	0	130	443	1502	46	1	1372	314	313
4	0	35	203	1828	20	1	1793	169	168
24	0	296	668	1956	30	1	1660	373	372
0	0	0	-1	2012	2012	0	2012	-1	-1
