id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
6	0	68	451	470	19	0	402	383	383
10	0	112	591	614	23	0	502	479	479
19	0	223	624	625	1	0	402	401	401
12	0	153	908	920	12	0	767	755	755
24	0	250	946	962	16	0	712	696	696
8	0	80	1178	1192	14	0	1112	1098	1098
25	0	278	1099	1381	73	5	1103	826	821
16	0	184	1246	1399	21	2	1215	1064	1062
23	0	245	930	1512	56	6	1267	691	685
13	0	168	1071	1552	34	1	1384	904	903
3	0	22	745	1600	55	7	1578	730	723
21	0	227	997	1710	64	2	1483	772	770
17	0	194	497	1812	49	1	1618	304	303
29	0	333	528	1924	42	4	1591	199	195
0	0	0	0	2000	1970	0	2000	0	0
