id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	4	103	289	186	0	285	99	99
13	0	129	568	583	15	0	454	439	439
8	0	68	410	1003	30	1	935	343	342
20	0	207	731	1278	25	2	1071	526	524
25	0	256	862	1405	36	3	1149	609	606
3	0	9	299	1416	4	3	1407	293	290
6	0	52	365	1474	69	3	1422	316	313
7	0	55	398	1487	18	4	1432	347	343
9	0	97	448	1499	35	3	1402	354	351
11	0	108	521	1555	38	3	1447	416	413
15	0	152	611	1609	33	5	1457	464	459
17	0	172	650	1645	44	8	1473	486	478
21	0	218	765	2051	51	4	1833	551	547
4	0	37	311	2121	54	7	2084	281	274
1	0	0	10	2194	113	8	2194	18	10
10	0	99	474	2435	112	8	2336	383	375
14	0	136	593	2682	102	10	2546	467	457
22	0	224	776	2794	107	8	2570	560	552
18	0	177	681	3105	128	12	2928	516	504
12	0	119	546	3361	171	10	3242	437	427
16	0	166	639	3372	99	15	3206	488	473
23	0	248	814	3412	173	10	3164	576	566
5	0	39	337	3615	188	20	3576	318	298
19	0	187	693	3719	213	20	3532	526	506
24	0	253	840	4047	229	43	3794	630	587
0	0	0	0	4047	-6	0	4047	0	0
