id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	33	43	44	1	0	11	10	10
6	0	108	312	314	2	0	206	204	204
17	0	302	332	354	1	0	52	30	30
19	0	332	383	490	4	0	158	51	51
29	0	439	522	524	2	0	85	83	83
28	0	418	559	636	18	1	218	142	141
18	0	322	365	649	25	1	327	44	43
27	0	416	683	708	3	0	292	267	267
26	0	414	695	798	5	4	384	285	281
24	0	407	842	897	7	3	490	438	435
30	0	468	511	978	59	7	510	50	43
22	0	373	988	991	3	0	618	615	615
25	0	411	719	1221	37	11	810	319	308
23	0	378	940	1263	18	7	885	569	562
12	0	195	342	1304	5	2	1109	149	147
21	0	362	1092	1395	30	2	1033	732	730
16	0	266	1337	1429	8	3	1163	1074	1071
10	0	173	324	1442	19	4	1269	155	151
15	0	210	1367	1463	14	2	1253	1159	1157
20	0	359	1081	1502	11	5	1143	727	722
13	0	205	1490	1537	3	1	1332	1286	1285
7	0	110	1512	1658	11	2	1548	1404	1402
9	0	126	166	1672	26	4	1546	44	40
5	0	62	111	1702	15	2	1640	51	49
8	0	121	1728	1781	5	0	1660	1607	1607
3	0	46	56	1829	46	6	1783	16	10
14	0	208	1473	1842	23	6	1634	1271	1265
4	1	53	276	1979	35	3	1926	226	223
11	1	174	205	2095	38	9	1921	40	31
1	2	0	10	2113	8	1	2113	11	10
0	0	0	0	2113	-9	0	2113	0	0
